"Num_Acc";"id_usager";"id_vehicule";"num_veh";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"age"
"53522";"203 723 808";"155 585 600";"B01";"1";"1";"2";"1954";"5";"1";"-1";"-1";"0";"0";"69"
"53443";"203 724 029";"155 585 748";"A01";"1";"3";"2";"1993";"5";"1";"-1";"-1";"0";"0";"30"
"53443";"203 724 033";"155 585 755";"B01";"1";"1";"1";"1975";"4";"1";"-1";"-1";"0";"0";"48"
"53381";"203 724 177";"155 585 853";"A01";"1";"4";"2";"1953";"9";"1";"-1";"-1";"0";"0";"70"
"53381";"203 724 182";"155 585 853";"A01";"2";"1";"1";"1948";"9";"1";"-1";"-1";"0";"0";"75"
"53381";"203 724 187";"155 585 857";"B01";"1";"1";"1";"1975";"4";"1";"-1";"-1";"0";"0";"48"
"53362";"203 724 227";"155 585 886";"A01";"1";"1";"1";"1956";"1";"1";"0";"-1";"-1";"-1";"67"
"53359";"203 724 235";"155 585 896";"D01";"1";"1";"1";"1954";"4";"1";"-1";"-1";"0";"0";"69"
"53362";"203 724 241";"155 585 897";"B01";"1";"4";"1";"1956";"5";"1";"0";"-1";"-1";"-1";"67"
"53359";"203 724 243";"155 585 901";"C01";"1";"4";"2";"1969";"4";"1";"-1";"-1";"0";"0";"54"
"53362";"203 724 246";"155 585 897";"B01";"2";"4";"2";"1956";"9";"1";"0";"-1";"-1";"-1";"67"
"53359";"203 724 248";"155 585 904";"B01";"1";"1";"1";"1968";"4";"1";"-1";"-1";"0";"0";"55"
"53359";"203 724 256";"155 585 909";"A01";"1";"4";"2";"1983";"1";"1";"-1";"-1";"0";"0";"40"
"53151";"203 724 739";"155 586 268";"A01";"1";"1";"2";"1968";"1";"8";"-1";"-1";"0";"0";"55"
"53151";"203 724 743";"155 586 272";"B01";"1";"3";"1";"1981";"4";"1";"-1";"-1";"0";"0";"42"
"52900";"203 725 346";"155 586 719";"A01";"2";"1";"1";"2003";"1";"1";"8";"-1";"0";"0";"20"
"52900";"203 725 347";"155 586 719";"A01";"1";"1";"1";"1976";"1";"1";"8";"-1";"0";"0";"47"
"52900";"203 725 348";"155 586 719";"A01";"3";"2";"2";"1951";"0";"0";"-1";"-1";"1";"3";"72"
"52839";"203 725 509";"155 586 826";"B01";"1";"4";"1";"1970";"5";"2";"6";"-1";"0";"0";"53"
"52839";"203 725 512";"155 586 829";"A01";"1";"1";"1";"1971";"3";"1";"-1";"-1";"0";"0";"52"
"52834";"203 725 518";"155 586 832";"A01";"1";"1";"2";"2003";"0";"1";"-1";"-1";"0";"0";"20"
"52834";"203 725 520";"155 586 832";"A01";"3";"3";"1";"2011";"2";"0";"-1";"-1";"2";"5";"12"
"52834";"203 725 522";"155 586 832";"A01";"2";"1";"1";"2005";"2";"1";"-1";"-1";"0";"0";"18"
"52833";"203 725 525";"155 586 836";"A01";"3";"4";"2";"1960";"0";"0";"-1";"-1";"3";"3";"63"
"52833";"203 725 526";"155 586 836";"A01";"1";"1";"2";"1987";"0";"1";"-1";"-1";"0";"0";"36"
"52767";"203 725 664";"155 586 945";"A01";"1";"1";"1";"1967";"0";"1";"0";"-1";"0";"0";"56"
"52767";"203 725 665";"155 586 946";"B01";"1";"2";"1";"1969";"1";"2";"0";"-1";"0";"0";"54"
"52720";"203 725 771";"155 587 028";"A01";"1";"3";"1";"2005";"4";"8";"-1";"-1";"0";"0";"18"
"52654";"203 725 938";"155 587 151";"A01";"2";"3";"2";"1989";"0";"1";"0";"-1";"-1";"-1";"34"
"52654";"203 725 939";"155 587 151";"A01";"2";"3";"2";"1998";"5";"1";"0";"-1";"0";"0";"25"
"52654";"203 725 941";"155 587 151";"A01";"2";"3";"2";"2020";"5";"1";"0";"-1";"0";"0";"3"
"52654";"203 725 942";"155 587 151";"A01";"1";"3";"2";"1996";"5";"1";"8";"-1";"-1";"0";"27"
"52654";"203 725 944";"155 587 151";"A01";"2";"4";"2";"2001";"0";"1";"0";"-1";"0";"0";"22"
"52514";"203 726 232";"155 587 394";"A01";"3";"3";"2";"1982";"0";"0";"-1";"-1";"3";"3";"41"
"52514";"203 726 235";"155 587 394";"A01";"1";"1";"1";"1993";"5";"1";"8";"-1";"-1";"-1";"30"
"52508";"203 726 245";"155 587 404";"A01";"1";"3";"1";"1999";"0";"1";"8";"-1";"-1";"-1";"24"
"52508";"203 726 250";"155 587 404";"A01";"2";"2";"2";"2003";"0";"1";"0";"-1";"-1";"-1";"20"
"52500";"203 726 261";"155 587 414";"B01";"1";"3";"1";"1985";"0";"1";"8";"-1";"-1";"-1";"38"
"52500";"203 726 272";"155 587 423";"A01";"2";"3";"1";"2000";"0";"1";"0";"-1";"-1";"-1";"23"
"52500";"203 726 273";"155 587 423";"A01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"-1";"-1";"2023"
"52424";"203 726 425";"155 587 539";"A01";"1";"1";"1";"1992";"1";"1";"0";"-1";"0";"0";"31"
"52424";"203 726 429";"155 587 543";"B01";"1";"3";"1";"1997";"5";"2";"8";"-1";"0";"0";"26"
"52418";"203 726 435";"155 587 548";"B01";"1";"1";"2";"1989";"0";"1";"0";"-1";"0";"0";"34"
"52418";"203 726 443";"155 587 554";"A01";"1";"3";"1";"1991";"0";"2";"6";"-1";"0";"0";"32"
"52299";"203 726 716";"155 587 761";"A01";"1";"3";"1";"1932";"0";"1";"0";"-1";"0";"0";"91"
"52251";"203 726 855";"155 587 855";"A01";"1";"3";"1";"2008";"5";"8";"0";"-1";"-1";"-1";"15"
"52251";"203 726 859";"155 587 859";"B01";"1";"3";"1";"2006";"5";"2";"6";"-1";"-1";"-1";"17"
"52058";"203 727 293";"155 588 190";"A01";"1";"4";"2";"1995";"0";"1";"-1";"-1";"0";"0";"28"
"52058";"203 727 299";"155 588 194";"B01";"1";"3";"1";"1997";"0";"2";"6";"9";"0";"0";"26"
"51972";"203 727 504";"155 588 347";"A01";"2";"4";"2";"2018";"5";"1";"-1";"-1";"0";"0";"5"
"51972";"203 727 509";"155 588 347";"A01";"2";"4";"1";"2016";"5";"1";"-1";"-1";"0";"0";"7"
"51972";"203 727 514";"155 588 347";"A01";"2";"4";"1";"1980";"5";"1";"-1";"-1";"0";"0";"43"
"51972";"203 727 516";"155 588 347";"A01";"1";"4";"1";"1989";"5";"1";"-1";"-1";"0";"0";"34"
"51972";"203 727 521";"155 588 358";"B01";"1";"1";"1";"2010";"5";"1";"-1";"-1";"0";"0";"13"
"51959";"203 727 539";"155 588 374";"B01";"1";"1";"1";"1969";"1";"1";"-1";"-1";"0";"0";"54"
"51959";"203 727 545";"155 588 378";"A01";"1";"4";"1";"2003";"1";"2";"6";"-1";"0";"0";"20"
"51949";"203 727 563";"155 588 390";"B01";"1";"3";"1";"1954";"5";"2";"-1";"-1";"0";"0";"69"
"51949";"203 727 575";"155 588 392";"A01";"1";"1";"2";"1960";"5";"1";"-1";"-1";"0";"0";"63"
"51774";"203 727 986";"155 588 699";"A01";"2";"3";"2";"1943";"5";"1";"-1";"-1";"0";"0";"80"
"51774";"203 727 989";"155 588 699";"A01";"1";"4";"1";"1944";"5";"1";"-1";"-1";"0";"0";"79"
"51774";"203 727 994";"155 588 705";"B01";"1";"1";"1";"2001";"1";"1";"-1";"-1";"0";"0";"22"
"51587";"203 728 451";"155 589 049";"A01";"1";"2";"2";"1980";"0";"8";"-1";"-1";"0";"0";"43"
"51499";"203 728 660";"155 589 200";"B01";"1";"4";"1";"2005";"0";"2";"6";"-1";"0";"0";"18"
"51499";"203 728 665";"155 589 204";"A01";"1";"4";"1";"1974";"0";"2";"6";"-1";"0";"0";"49"
"51499";"203 728 668";"155 589 204";"A01";"2";"4";"2";"1975";"0";"6";"2";"-1";"0";"0";"48"
"51491";"203 728 676";"155 589 211";"A01";"1";"4";"1";"1941";"5";"1";"-1";"-1";"0";"0";"82"
"51491";"203 728 679";"155 589 211";"A01";"2";"2";"2";"1935";"5";"1";"-1";"-1";"0";"0";"88"
"51367";"203 728 973";"155 589 425";"B01";"2";"4";"2";"2007";"0";"2";"0";"-1";"-1";"-1";"16"
"51367";"203 728 974";"155 589 425";"B01";"1";"1";"2";"2007";"0";"2";"0";"-1";"-1";"-1";"16"
"51367";"203 728 977";"155 589 429";"A01";"1";"4";"2";"1994";"0";"1";"-1";"-1";"-1";"-1";"29"
"51324";"203 729 101";"155 589 499";"A01";"1";"1";"1";"1958";"5";"1";"-1";"-1";"0";"0";"65"
"51324";"203 729 106";"155 589 505";"B01";"1";"3";"1";"1997";"5";"2";"6";"-1";"0";"0";"26"
"51162";"203 729 518";"155 589 785";"B01";"1";"3";"1";"1983";"0";"2";"6";"-1";"-1";"-1";"40"
"51162";"203 729 521";"155 589 788";"A01";"1";"1";"2";"1959";"5";"1";"0";"-1";"-1";"-1";"64"
"50915";"203 730 139";"155 590 228";"A01";"3";"4";"1";"1945";"0";"0";"-1";"-1";"4";"3";"78"
"50915";"203 730 140";"155 590 228";"A01";"3";"3";"2";"1950";"0";"0";"-1";"-1";"4";"3";"73"
"50915";"203 730 141";"155 590 228";"A01";"1";"1";"1";"1969";"0";"1";"-1";"-1";"0";"0";"54"
"50860";"203 730 251";"155 590 321";"A01";"1";"2";"1";"1972";"1";"0";"-1";"-1";"0";"0";"51"
"50694";"203 730 642";"155 590 625";"A01";"1";"1";"1";"1999";"5";"1";"0";"-1";"0";"0";"24"
"50694";"203 730 647";"155 590 629";"B01";"2";"4";"1";"1973";"5";"2";"6";"-1";"-1";"-1";"50"
"50694";"203 730 650";"155 590 629";"B01";"1";"3";"1";"1971";"5";"2";"6";"-1";"0";"0";"52"
"50688";"203 730 658";"155 590 635";"B01";"1";"4";"1";"2003";"0";"2";"6";"-1";"0";"0";"20"
"50688";"203 730 662";"155 590 638";"A01";"1";"1";"1";"1996";"0";"2";"6";"-1";"0";"0";"27"
"50601";"203 730 850";"155 590 781";"A01";"1";"3";"1";"1997";"5";"2";"8";"-1";"-1";"-1";"26"
"50601";"203 730 852";"155 590 788";"B01";"1";"4";"1";"2007";"9";"2";"0";"-1";"-1";"-1";"16"
"50593";"203 730 863";"155 590 794";"A01";"1";"1";"1";"1938";"5";"1";"8";"-1";"-1";"-1";"85"
"50593";"203 730 864";"155 590 794";"A01";"3";"3";"1";"1946";"5";"0";"-1";"-1";"3";"3";"77"
"50588";"203 730 874";"155 590 801";"A01";"1";"1";"1";"1980";"1";"1";"8";"-1";"-1";"-1";"43"
"50588";"203 730 877";"155 590 801";"A01";"3";"2";"2";"1939";"0";"0";"-1";"-1";"2";"3";"84"
"50579";"203 730 892";"155 590 818";"B01";"1";"4";"1";"1982";"0";"2";"8";"-1";"-1";"-1";"41"
"50579";"203 730 895";"155 590 821";"A01";"1";"1";"1";"1960";"9";"1";"0";"-1";"-1";"-1";"63"
"50435";"203 731 233";"155 591 071";"A01";"1";"1";"1";"1986";"0";"8";"-1";"-1";"0";"0";"37"
"50435";"203 731 237";"155 591 075";"B01";"1";"3";"1";"1995";"0";"2";"6";"9";"0";"0";"28"
"50239";"203 731 690";"155 591 429";"A01";"1";"1";"2";"1986";"5";"1";"0";"-1";"0";"0";"37"
"50239";"203 731 694";"155 591 429";"A01";"3";"3";"1";"1981";"5";"8";"8";"-1";"3";"3";"42"
"50232";"203 731 707";"155 591 437";"A01";"2";"4";"1";"2002";"5";"1";"-1";"-1";"0";"0";"21"
"50232";"203 731 708";"155 591 437";"A01";"1";"3";"1";"1994";"5";"1";"-1";"-1";"0";"0";"29"
"50181";"203 731 851";"155 591 542";"A01";"1";"1";"1";"1948";"9";"1";"0";"-1";"0";"0";"75"
"50181";"203 731 852";"155 591 543";"B01";"1";"3";"1";"1979";"9";"2";"6";"-1";"0";"0";"44"
"50176";"203 731 861";"155 591 552";"A01";"1";"3";"2";"1966";"0";"1";"0";"-1";"0";"0";"57"
"50176";"203 731 863";"155 591 552";"A01";"3";"3";"1";"1980";"0";"0";"-1";"-1";"5";"2";"43"
"49946";"203 732 397";"155 591 960";"A01";"1";"3";"1";"1950";"5";"2";"0";"-1";"0";"0";"73"
"49944";"203 732 398";"155 591 961";"A01";"1";"4";"1";"1946";"0";"8";"0";"-1";"0";"0";"77"
"49944";"203 732 402";"155 591 964";"Z01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"0";"0";"2023"
"49946";"203 732 406";"155 591 967";"B01";"1";"1";"1";"1992";"5";"1";"0";"-1";"0";"0";"31"
"49837";"203 732 645";"155 592 145";"A01";"1";"1";"1";"2006";"0";"1";"0";"-1";"-1";"-1";"17"
"49837";"203 732 647";"155 592 146";"B01";"1";"4";"2";"1993";"1";"8";"0";"-1";"-1";"-1";"30"
"49831";"203 732 662";"155 592 157";"B01";"1";"4";"1";"1990";"3";"1";"8";"-1";"-1";"-1";"33"
"49831";"203 732 665";"155 592 157";"B01";"2";"4";"2";"1939";"3";"1";"8";"-1";"-1";"-1";"84"
"49831";"203 732 671";"155 592 163";"A01";"1";"1";"1";"1968";"1";"1";"8";"-1";"-1";"-1";"55"
"49825";"203 732 680";"155 592 172";"T01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"-1";"-1";"2023"
"49825";"203 732 684";"155 592 174";"B01";"1";"4";"1";"1987";"0";"2";"6";"-1";"-1";"-1";"36"
"49825";"203 732 690";"155 592 178";"A01";"1";"1";"1";"1991";"0";"1";"0";"-1";"-1";"-1";"32"
"49817";"203 732 699";"155 592 185";"B01";"2";"1";"1";"1999";"5";"1";"8";"-1";"-1";"-1";"24"
"49817";"203 732 702";"155 592 185";"B01";"1";"1";"1";"1999";"5";"1";"8";"-1";"-1";"-1";"24"
"49817";"203 732 705";"155 592 190";"A01";"1";"4";"1";"1987";"5";"1";"8";"-1";"-1";"-1";"36"
"49746";"203 732 889";"155 592 320";"B01";"1";"1";"2";"1977";"5";"1";"-1";"-1";"0";"0";"46"
"49746";"203 732 892";"155 592 323";"A01";"1";"3";"1";"1989";"5";"2";"6";"-1";"0";"0";"34"
"49739";"203 732 900";"155 592 328";"B01";"1";"3";"1";"1978";"5";"1";"-1";"-1";"0";"0";"45"
"49739";"203 732 904";"155 592 328";"B01";"2";"4";"1";"2012";"5";"1";"-1";"-1";"0";"0";"11"
"49739";"203 732 907";"155 592 332";"A01";"1";"1";"2";"1999";"5";"1";"-1";"-1";"0";"0";"24"
"49298";"203 733 982";"155 593 098";"B01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"-1";"-1";"2023"
"49298";"203 733 984";"155 593 099";"A01";"1";"4";"1";"2007";"0";"0";"-1";"-1";"0";"0";"16"
"49239";"203 734 114";"155 593 206";"A01";"1";"1";"2";"1979";"1";"1";"0";"-1";"0";"0";"44"
"49239";"203 734 116";"155 593 207";"B01";"1";"4";"1";"1965";"1";"2";"6";"-1";"0";"0";"58"
"49027";"203 734 641";"155 593 590";"B01";"2";"1";"1";"1989";"4";"1";"-1";"-1";"0";"0";"34"
"49027";"203 734 643";"155 593 590";"B01";"1";"1";"1";"1989";"4";"1";"-1";"-1";"0";"0";"34"
"49027";"203 734 644";"155 593 591";"A01";"1";"4";"1";"1984";"1";"1";"-1";"-1";"0";"0";"39"
"49010";"203 734 673";"155 593 617";"B01";"2";"1";"2";"1987";"5";"1";"-1";"-1";"0";"0";"36"
"49010";"203 734 674";"155 593 617";"B01";"1";"1";"2";"1992";"5";"1";"-1";"-1";"0";"0";"31"
"49010";"203 734 675";"155 593 618";"A01";"1";"3";"1";"1956";"0";"1";"-1";"-1";"0";"0";"67"
"48588";"203 735 676";"155 594 332";"A01";"1";"2";"2";"1955";"0";"8";"8";"-1";"0";"0";"68"
"48557";"203 735 737";"155 594 380";"A01";"2";"3";"1";"2000";"5";"8";"-1";"-1";"0";"0";"23"
"48557";"203 735 740";"155 594 380";"A01";"1";"2";"1";"2004";"5";"8";"-1";"-1";"0";"0";"19"
"48494";"203 735 890";"155 594 495";"A01";"1";"4";"1";"1985";"5";"2";"0";"-1";"-1";"-1";"38"
"48494";"203 735 897";"155 594 501";"B01";"1";"1";"1";"1984";"3";"1";"8";"-1";"-1";"-1";"39"
"48494";"203 735 899";"155 594 501";"B01";"2";"1";"1";"1986";"3";"1";"0";"-1";"-1";"-1";"37"
"48487";"203 735 905";"155 594 507";"A01";"1";"1";"1";"1975";"4";"1";"0";"-1";"-1";"-1";"48"
"48487";"203 735 909";"155 594 512";"B01";"1";"4";"1";"2007";"0";"8";"0";"-1";"-1";"-1";"16"
"48284";"203 736 355";"155 594 876";"B01";"1";"2";"1";"1972";"1";"1";"0";"-1";"0";"0";"51"
"48284";"203 736 357";"155 594 878";"A01";"1";"3";"1";"1972";"5";"1";"0";"-1";"0";"0";"51"
"48087";"203 736 838";"155 595 230";"A01";"1";"2";"1";"1967";"5";"2";"9";"-1";"0";"0";"56"
"48062";"203 736 899";"155 595 272";"A01";"2";"1";"1";"2001";"5";"1";"0";"-1";"-1";"-1";"22"
"48062";"203 736 900";"155 595 272";"A01";"1";"1";"1";"1999";"5";"1";"8";"-1";"-1";"-1";"24"
"48062";"203 736 901";"155 595 273";"B01";"1";"3";"1";"2004";"0";"8";"0";"-1";"-1";"-1";"19"
"48024";"203 736 996";"155 595 335";"A01";"1";"2";"1";"1951";"4";"1";"-1";"-1";"0";"0";"72"
"48020";"203 737 011";"155 595 344";"A01";"1";"4";"1";"2002";"5";"2";"6";"-1";"-1";"-1";"21"
"48020";"203 737 013";"155 595 344";"A01";"2";"4";"1";"2002";"5";"2";"6";"-1";"-1";"-1";"21"
"48015";"203 737 018";"155 595 349";"A01";"1";"4";"1";"1973";"0";"1";"0";"-1";"-1";"-1";"50"
"47955";"203 737 156";"155 595 451";"B01";"2";"1";"1";"2010";"5";"1";"-1";"-1";"0";"0";"13"
"47955";"203 737 158";"155 595 451";"B01";"1";"1";"2";"1981";"5";"1";"-1";"-1";"0";"0";"42"
"47955";"203 737 160";"155 595 454";"A01";"1";"4";"1";"2001";"1";"2";"6";"-1";"0";"0";"22"
"47893";"203 737 308";"155 595 563";"A01";"1";"1";"1";"2005";"5";"1";"-1";"-1";"0";"0";"18"
"47893";"203 737 310";"155 595 563";"A01";"2";"4";"2";"2009";"5";"8";"-1";"-1";"0";"0";"14"
"47893";"203 737 311";"155 595 563";"A01";"2";"1";"1";"2006";"5";"1";"-1";"-1";"0";"0";"17"
"47893";"203 737 314";"155 595 563";"A01";"2";"4";"2";"2008";"5";"8";"-1";"-1";"0";"0";"15"
"47889";"203 737 321";"155 595 570";"A01";"1";"2";"1";"1999";"1";"2";"-1";"-1";"0";"0";"24"
"47889";"203 737 323";"155 595 571";"B01";"1";"1";"1";"1999";"0";"1";"-1";"-1";"0";"0";"24"
"47750";"203 737 662";"155 595 826";"A01";"1";"1";"1";"1983";"1";"8";"-1";"-1";"0";"0";"40"
"47750";"203 737 664";"155 595 828";"B01";"1";"4";"1";"1982";"1";"2";"6";"-1";"0";"0";"41"
"47647";"203 737 892";"155 595 998";"A01";"1";"1";"1";"1994";"1";"1";"0";"-1";"-1";"-1";"29"
"47647";"203 737 895";"155 596 001";"B01";"1";"4";"1";"1999";"0";"8";"0";"-1";"3";"3";"24"
"47474";"203 738 310";"155 596 321";"A01";"1";"4";"1";"1986";"5";"1";"-1";"-1";"0";"0";"37"
"47341";"203 738 617";"155 596 558";"A01";"1";"3";"2";"1950";"5";"1";"-1";"-1";"0";"0";"73"
"47341";"203 738 618";"155 596 558";"A01";"2";"3";"1";"1956";"5";"1";"-1";"-1";"0";"0";"67"
"47264";"203 738 802";"155 596 698";"A01";"1";"1";"1";"1963";"5";"1";"0";"-1";"-1";"-1";"60"
"47264";"203 738 804";"155 596 700";"B01";"1";"4";"1";"2001";"0";"2";"6";"-1";"-1";"-1";"22"
"47085";"203 739 228";"155 597 022";"B01";"1";"4";"2";"2004";"5";"1";"-1";"-1";"0";"0";"19"
"47085";"203 739 229";"155 597 022";"B01";"2";"4";"1";"2004";"5";"1";"-1";"-1";"0";"0";"19"
"47085";"203 739 230";"155 597 023";"A01";"1";"3";"1";"1979";"5";"0";"-1";"-1";"0";"0";"44"
"46988";"203 739 433";"155 597 181";"A01";"1";"1";"1";"1963";"4";"1";"-1";"-1";"0";"0";"60"
"46988";"203 739 434";"155 597 181";"A01";"2";"1";"2";"1969";"4";"1";"-1";"-1";"0";"0";"54"
"46988";"203 739 435";"155 597 182";"B01";"1";"3";"2";"1950";"5";"0";"-1";"-1";"0";"0";"73"
"46887";"203 739 668";"155 597 347";"A01";"1";"3";"1";"1970";"1";"2";"-1";"-1";"0";"0";"53"
"46850";"203 739 760";"155 597 411";"A01";"1";"3";"1";"1966";"0";"2";"8";"-1";"0";"0";"57"
"46804";"203 739 861";"155 597 486";"A01";"1";"1";"1";"1972";"4";"1";"-1";"-1";"0";"0";"51"
"46804";"203 739 866";"155 597 491";"B01";"2";"3";"1";"1993";"5";"1";"-1";"-1";"0";"0";"30"
"46804";"203 739 871";"155 597 491";"B01";"1";"3";"1";"1954";"5";"1";"-1";"-1";"0";"0";"69"
"46726";"203 740 050";"155 597 628";"A01";"3";"3";"2";"2006";"2";"0";"-1";"-1";"1";"3";"17"
"46726";"203 740 051";"155 597 628";"A01";"1";"1";"1";"1980";"1";"1";"-1";"-1";"0";"0";"43"
"46722";"203 740 054";"155 597 630";"A01";"1";"3";"2";"1949";"5";"1";"-1";"-1";"0";"0";"74"
"46714";"203 740 082";"155 597 646";"B01";"1";"1";"1";"1978";"4";"1";"-1";"-1";"0";"0";"45"
"46714";"203 740 083";"155 597 647";"A01";"1";"2";"1";"1981";"4";"1";"-1";"-1";"0";"0";"42"
"46668";"203 740 201";"155 597 736";"A01";"1";"1";"1";"1966";"4";"8";"-1";"-1";"0";"0";"57"
"46668";"203 740 209";"155 597 739";"B01";"1";"4";"1";"1983";"0";"2";"-1";"-1";"0";"0";"40"
"46659";"203 740 224";"155 597 754";"A01";"1";"4";"1";"2002";"1";"8";"-1";"-1";"0";"0";"21"
"46659";"203 740 228";"155 597 758";"B01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"0";"0";"2023"
"46650";"203 740 240";"155 597 769";"A01";"1";"1";"2";"1998";"5";"8";"-1";"-1";"0";"0";"25"
"46650";"203 740 242";"155 597 771";"B01";"2";"1";"2";"2008";"5";"0";"-1";"-1";"0";"0";"15"
"46650";"203 740 244";"155 597 771";"B01";"2";"1";"1";"2009";"5";"0";"-1";"-1";"0";"0";"14"
"46650";"203 740 245";"155 597 771";"B01";"2";"1";"2";"2007";"5";"0";"-1";"-1";"0";"0";"16"
"46650";"203 740 246";"155 597 771";"B01";"2";"4";"2";"2008";"5";"0";"-1";"-1";"0";"0";"15"
"46650";"203 740 247";"155 597 771";"B01";"2";"1";"1";"1966";"5";"0";"-1";"-1";"0";"0";"57"
"46650";"203 740 248";"155 597 771";"B01";"2";"1";"2";"1965";"5";"0";"-1";"-1";"0";"0";"58"
"46650";"203 740 249";"155 597 771";"B01";"1";"1";"1";"1985";"4";"8";"-1";"-1";"0";"0";"38"
"46650";"203 740 250";"155 597 771";"B01";"2";"1";"2";"1963";"5";"0";"-1";"-1";"0";"0";"60"
"46572";"203 740 431";"155 597 904";"A01";"1";"1";"2";"1978";"5";"1";"-1";"-1";"0";"0";"45"
"46572";"203 740 433";"155 597 905";"B01";"1";"4";"1";"1970";"5";"2";"-1";"-1";"0";"0";"53"
"46547";"203 740 503";"155 597 952";"A01";"1";"1";"1";"1994";"0";"8";"4";"-1";"-1";"-1";"29"
